,Unnamed: 0,id,title,date,keywords,abstract
4516,4516,32475574,"Microwave-assisted extraction of polysaccharides from the marshmallow roots: Optimization, purification, structure, and bioactivity.",,"['Althaea officinalis L.', 'Biological properties', 'Extraction', 'FTIR', 'Functional properties', 'Microwave', 'polysaccharide']","The process optimization and biological characterization of marshmallow root polysaccharides (MRPs) obtained from the microwave-assisted extraction (MAE) were studied. The highest MAE-yield (14.47%) was optimized at 457.32 W and 75 °C for 26 min. The extracted crude polysaccharides were purified using ion-exchange and gel-filtration chromatographies and eluted a single symmetrical narrow peak, showing a homogenous fraction (MRP-P1) with a molecular weight of 4.87 × 10<sup>4</sup> Da. The surface morphology of polysaccharides and functional groups of MRP-P1 were determined by employing scanning electron microscopy and Fourier-transform infrared spectroscopy, respectively. The major monosaccharide composition of MRPs were the three monomers of rhamnose, galactose, and glucose. The antioxidant, antimicrobial, and antitumor activities were increased in a concentration-dependent manner (1.0-10.0 mg/mL). MRP-P1 exhibited a strong in vitro antiproliferative activity against lung (A549), liver (HepG2), and breast (MCF-7) cancer cells. The anticancer activity of polysaccharides extracted under optimal MAE conditions was highly associated with their antioxidant and antibacterial functions."
4896,4896,32449691,Leptin decreases BC cell susceptibility to NK lysis via PGC1A pathway.,,"['PGC-1α', 'breast cancer', 'leptin', 'tumor immune escape', 'β oxidation']","Large prospective studies established a link between obesity and breast cancer (BC) development. Yet, the mechanisms underlying this association are not fully understood. Among the diverse adipocytokine secreted by hypertrophic adipose tissue, leptin is emerging as a key candidate molecule linking obesity and cancer, since it promotes proliferation and invasiveness of tumors. However, the potential implication of leptin on tumor escape mechanisms remains unknown. This study aims to explore the effect of leptin on tumor resistance to NK lysis and the underlying mechanism. We found that leptin promotes both BC resistance to NK92-mediated lysis and β oxidation on MCF-7, by the up-regulation of a master regulator of mitochondrial biogenesis, the peroxisome proliferator activated receptor coactivator-1 α (PGC1A). Using adenoviral approaches, we show that acute elevation of PGC1A enhances the fatty acid oxidation pathway and decreases the susceptibility of BC cells to NK92-mediated lysis. Importantly, we identified the involvement of PGC1A and leptin in the regulation of hypoxia inducible factor-1 alpha (HIF1A) expression by tumor cells. We further demonstrate that basal BC cells MDA-MB-231 and BT-20 exhibit an increased PGC1A mRNA level and an enhanced oxidative phosphorylation activity; in comparison with luminal BC cells MCF7 and MDA-361, which are associated with more resistance NK92 lysis. Altogether, our results demonstrate for the first time how leptin could promote tumor resistance to immune attacks. Reagents blocking leptin or PGC1A activity might aid in developing new therapeutic strategies to limit tumor development in obese BC patients."
5056,5056,32439974,Diagnosing hereditary cancer predisposition in men with prostate cancer.,,"['HRD', 'MMRD', 'genetic testing', 'multigene panel testing', 'prostate cancer']",We describe the pathogenic variant spectrum and identify predictors of positive results among men referred for clinical genetic testing for prostate cancer.
5139,5139,32434142,Non-linear Deep Neural Network for Rapid and Accurate Prediction of Phenotypic Responses to Kinase Inhibitors.,,"['Bioinformatics', 'Cancer', 'Computational Bioinformatics', 'Neural Networks']","Protein kinase inhibitors are one of the most successful targeted therapies to date. Despite this progress, additional kinase inhibitors are needed to expand the target space as well as overcome drug resistance that has emerged in clinical setting. Here, we developed KiDNN (Kinase inhibitor prediction using Deep Neural Networks). KiDNN utilizes non-linear, multilayer feedforward network that mimics complex and dynamic kinase-driven signaling pathways. We used KiDNN to predict the effect of ∼200 kinase inhibitors on migration of breast and liver cancer cells. We show that the prediction accuracy of KiDNN outperformed other prediction tools based on linear models. We validated that an inhibitor of tyrosine kinase receptors, and an inhibitor of Src family kinases, decreased migration of triple-negative breast cancer cells, consistent with the role of these kinases in driving motility. Overall, we show that non-linear, DNN-based models provide a powerful approach to in silico screen hundreds of kinase inhibitors."
5358,5358,32420275,Modified radical mastectomy for anterior thoracic nerve and intercostobrachial nerve protection (case report).,,"['Breast cancer', 'anterior thoracic nerve', 'intercostobrachial nerve']","Modified breast cancer radical mastectomy is a more common operating method in breast surgery. Traditional modified radical mastectomy focuses on protecting the long thoracic nerve and thoracodorsal nerve while ignoring the protection of the anterior thoracic nerve and intercostobrachial nerve protection, which leads often to patients with upper medial arm numbness, acid swelling, pain, chest atrophy, and other problems. In the modified radical mastectomy of breast cancer, in this case, the author used an elaborative operation to protect the anterior thoracic nerve and intercostobrachial nerve and thoroughly dissected the third-level lymph nodes through the axillary approach."
5616,5616,32404150,Frequency and spectrum of PIK3CA somatic mutations in breast cancer.,,"['Alpelisib', 'Breast cancer', 'Companion diagnostic', 'Hotspot mutations', 'Mutations', 'PIK3CA', 'Therascreen', 'ctDNA']","The therascreen PIK3CA mutation assay and the alpha-specific PI3K inhibitor alpelisib are FDA-approved for identifying and treating patients with advanced PIK3CA-mutated (PIK3CAmut) breast cancer (BC). However, it is currently unknown to what extend this assay detects most PIK3CA mutations in BC. This information is critical as patients and clinicians are using this and other genomic assays to indicate alpelisib."
6763,6763,32333626,Current Status and Factors Influencing Surgical Options for Breast Cancer in China: A Nationwide Cross-Sectional Survey of 110 Hospitals.,,"['Breast cancer', 'Breast reconstruction', 'Breast surgery', 'China', 'Questionnaire survey']",There are limited nationwide data regarding breast cancer surgery in China. The Chinese Anti-Cancer Association's Committee of Breast Cancer Society and the Chinese Society of Breast Surgeons conducted a nationwide survey to examine the use of and barriers associated with surgical options among patients with breast cancer.
6831,6831,32329699,Syntheses and Preliminary Evaluation of Dual Target PET Probe [18F]-NOTA-Gly3-E (2PEG4-RGD-WH701) for PET Imaging of Breast Cancer.,,"['18F labeling', 'PET imaging\n', 'TNFR1', 'dual target', 'peptides', 'ανβ3 receptors']","Tumor Necrosis Factor Receptor 1 (TNFR1) and integrin αvβ3 receptor are overexpressed in breast cancer. We hypothesized that a peptide ligand recognizing both receptors in a single receptor-binding probe would be advantageous. Here, we developed a novel 18F-labeled fusion peptide probe [18F]-NOTA-Gly3-E(2PEG4-RGD-WH701) targeting dual receptors (TNFR1 and αvβ3) and evaluated the diagnostic efficacy of this radioactive probe in both MDA-MB-231 and MCF-7 xenograft models in mice."
7335,7335,32298750,In-vitro (2D and 3D cultures) and in-vivo cytotoxic properties of Zataria multiflora essential oil (ZEO) emulsion in breast and cervical cancer cells along with the investigation of immunomodulatory potential.,,"['Apoptosis', 'Breast cancer', 'Cervical cancer', 'Cytokine', 'Spheroid']","Zataria multiflora is an iranian valuable traditional plants, called Avishan Shirazi in Persian language used to reduce inflammation, spasm, pain, and cancer symptoms. Zataria essential oil (ZEO) is one of the essential oils possessing broad biological activities."
7423,7423,32293793,De novo adipogenesis using a bioabsorbable implant without additional cells or growth factors.,,"['PLLA', 'adipogenesis', 'bioabsorbable implant', 'collagen sponge', 'internal space', 'mesh']","Adipose tissue regeneration in breast cancer patients without additional growth factors or adipose-tissue-derived stromal cells is desirable because of the possibility of recurrence and metastasis. We report that a poly-L-lactic acid (PLLA) mesh implant containing a collagen sponge (CS) maintained the internal space in vivo for up to 12 months and substituted for adipose tissue. We developed a PLLA capsule that maintained the internal space longer than that of PLLA mesh and compared adipose tissue formation at 12 and 24 months after implantation between the PLLA mesh with CS implant and the PLLA capsule implant with or without CS in a rabbit model. After 12 months, all implants maintained the internal space, and the adipose tissue that formed in all implant groups was larger than that in the control group. At 24 months, PLLA mesh maintained the internal space just as well as that at 12 months, while the PLLA capsule collapsed and accumulated a large number of macrophages. The formed adipose tissue in the PLLA mesh group was maintained up to 24 months; however, those in two PLLA capsule groups decreased and showed no difference from the control group. In conclusion, the internal space of the PLLA mesh implant with CS was substituted for adipose tissue at 12 months and sustained the formed adipose tissue after 24 months. The PLLA mesh implant containing CS is a desirable bioabsorbable implant that can be replaced by autologous adipose tissue after implantation in vivo without using any growth factors or cells."
